AvgTemperature,Year,Month
83.2290322580645,2007,5
91.44666666666667,2007,6
88.11612903225806,2007,7
81.24193548387096,2007,8
84.55666666666666,2007,9
70.46774193548387,2007,10
67.18,2007,11
52.94516129032258,2007,12
55.351612903225806,2008,1
60.217241379310344,2008,2
77.31935483870969,2008,3
83.78333333333333,2008,4
86.75806451612904,2008,5
86.51333333333334,2008,6
87.26129032258065,2008,7
85.33870967741936,2008,8
77.49666666666667,2008,9
79.58064516129032,2008,10
67.23,2008,11
61.23548387096774,2008,12
58.57419354838709,2009,1
64.93571428571428,2009,2
68.75806451612904,2009,3
79.56333333333333,2009,4
90.38709677419355,2009,5
94.28999999999999,2009,6
89.79032258064517,2009,7
87.68709677419355,2009,8
84.06333333333333,2009,9
77.18064516129031,2009,10
66.85333333333332,2009,11
58.89354838709678,2009,12
55.196774193548386,2010,1
64.52857142857142,2010,2
78.70967741935483,2010,3
64.94666666666667,2010,4
94.3483870967742,2010,5
93.91666666666667,2010,6
87.92903225806452,2010,7
85.36451612903227,2010,8
81.97666666666667,2010,9
78.96774193548387,2010,10
68.70333333333333,2010,11
57.26451612903226,2010,12
54.329032258064515,2011,1
62.614285714285714,2011,2
73.2741935483871,2011,3
82.47333333333333,2011,4
91.76129032258065,2011,5
58.45666666666667,2011,6
87.1741935483871,2011,7
85.81612903225808,2011,8
84.60333333333332,2011,9
78.31935483870969,2011,10
69.61333333333333,2011,11
58.24516129032258,2011,12
55.31935483870968,2012,1
61.393103448275866,2012,2
73.37096774193549,2012,3
83.06333333333333,2012,4
92.40322580645162,2012,5
97.05666666666666,2012,6
89.50967741935484,2012,7
84.71935483870968,2012,8
84.55,2012,9
76.76129032258065,2012,10
65.95,2012,11
58.50322580645161,2012,12
53.82258064516129,2013,1
62.30714285714286,2013,2
73.70967741935483,2013,3
84.28,2013,4
86.75483870967743,2013,5
90.44666666666667,2013,6
87.14838709677419,2013,7
85.28387096774195,2013,8
85.81666666666666,2013,9
79.39354838709677,2013,10
65.76666666666667,2013,11
59.25483870967742,2013,12
56.07419354838709,2014,1
54.45,2014,2
70.97419354838709,2014,3
82.53,2014,4
88.8741935483871,2014,5
94.75,2014,6
89.83225806451614,2014,7
88.69354838709677,2014,8
85.55,2014,9
79.79354838709678,2014,10
67.71666666666667,2014,11
56.932258064516134,2014,12
55.00322580645161,2015,1
65.83214285714286,2015,2
70.86451612903227,2015,3
82.40333333333334,2015,4
92.42903225806452,2015,5
90.6,2015,6
86.83548387096775,2015,7
86.81935483870969,2015,8
87.21333333333334,2015,9
80.41290322580646,2015,10
69.44666666666667,2015,11
50.990625,2015,12
60.167741935483875,2016,1
66.16896551724139,2016,2
72.60967741935484,2016,3
83.94666666666667,2016,4
88.35806451612903,2016,5
94.93,2016,6
87.5516129032258,2016,7
87.59032258064516,2016,8
81.72,2016,9
82.45161290322581,2016,10
65.61999999999999,2016,11
62.7,2016,12
59.42580645161291,2017,1
66.99642857142858,2017,2
76.0741935483871,2017,3
76.63666666666667,2017,4
93.08709677419354,2017,5
91.19666666666667,2017,6
88.54516129032258,2017,7
87.85806451612903,2017,8
86.79333333333334,2017,9
81.1774193548387,2017,10
66.25666666666667,2017,11
60.093548387096774,2017,12
51.74193548387097,2018,1
64.7,2018,2
76.30322580645162,2018,3
85.55333333333333,2018,4
90.79032258064517,2018,5
93.81,2018,6
88.08064516129032,2018,7
86.86451612903227,2018,8
71.05333333333333,2018,9
78.81935483870969,2018,10
53.766666666666666,2018,11
58.829032258064515,2018,12
51.58709677419355,2019,1
62.096428571428575,2019,2
72.30967741935484,2019,3
62.14,2019,4
68.30000000000001,2019,5
96.25,2019,6
89.30000000000001,2019,7
88.0516129032258,2019,8
87.22333333333333,2019,9
80.3225806451613,2019,10
69.40666666666667,2019,11
54.53225806451613,2019,12
55.880645161290325,2020,1
62.300000000000004,2020,2
70.75806451612904,2020,3
82.14333333333335,2020,4
86.27499999999999,2020,5
